learn:jqzx.csv check Article65:七宗罪：我们是如何错误预估人工智能的 	 Result: 	0.2044837352396336 	1666 	572
  	class: 显示  	d: 12  	pt: 0.7950381679389313  	diff:  显示AB0.16583969465648854 展示AB0.37309160305343514 亮A0.004580152671755725 显得AB0.2316793893129771 形A0.015267175572519083 示A0.004580152671755725
  	class: 著名  	d: 33  	pt: 0.7916666666666665  	diff:  资深A0.125 知名A0.25 著名AB0.08333333333333326 有名AB0.3125 响当当A0.010416666666666666 闻名A0.010416666666666666
  	class: 买  	d: 19  	pt: 0.7872340425531915  	diff:  市A0.06382978723404255 购买AB0.18085106382978722 买AB0.39361702127659576 置A0.0425531914893617 采购A0.06382978723404255 买入A0.02127659574468085 购入A0.02127659574468085
  	class: 秘密  	d: 14  	pt: 0.7857142857142857  	diff:  神秘AB0.35714285714285715 机密A0.39285714285714285 秘密AB0.0357142857142857
  	class: 善于  	d: 10  	pt: 0.7826086956521738  	diff:  擅长AB0.3913043478260869 善于A0.06521739130434782 拿手A0.021739130434782608 工A0.2608695652173913 健A0.043478260869565216
  	class: 思考  	d: 20  	pt: 0.7813878860810269  	diff:  思考AB0.18732450862414762 思想AB0.36181307661452067 想想A0.018050541516245487 思维AB0.20336943441636582 构思A0.007220216606498195 思索A0.0036101083032490976
  	class: 移动  	d: 12  	pt: 0.7671232876712328  	diff:  走AB0.3835616438356164 移位A0.1095890410958904 位移A0.0958904109589041 平移A0.1643835616438356 挪动A0.0136986301369863
  	class: 包含  	d: 25  	pt: 0.7340425531914893  	diff:  包含AB0.2021276595744681 隐含A0.06515957446808511 涵盖A0.03590425531914894 带有AB0.11968085106382978 含有A0.041223404255319146 含A0.017287234042553192 含蓄A0.0013297872340425532 暗含A0.0013297872340425532 蕴含AB0.2473404255319149 蕴藏A0.0013297872340425532 饱含A0.0013297872340425532
  	class: 声称  	d: 6  	pt: 0.7333333333333334  	diff:  声明AB0.18333333333333335 声称A0.13333333333333333 宣称AB0.3666666666666667 宣示A0.05
  	class: 符合  	d: 13  	pt: 0.7305389221556888  	diff:  适合AB0.3652694610778443 符A0.04790419161676647 符合A0.20958083832335328 入A0.07784431137724551 顺应A0.005988023952095809 相符A0.017964071856287425 契合A0.005988023952095809
  	class: 超越  	d: 9  	pt: 0.724766562916852  	diff:  超过AB0.16659255965614345 超AB0.20246035274937008 跳A0.09248554913294797 超越AB0.04965169705054098 跨A0.0674373795761079 跨越AB0.14613902475174154
  	class: 评论  	d: 15  	pt: 0.7246376811594204  	diff:  评论AB0.3623188405797102 评价A0.36231884057971014
  	class: 觉察  	d: 6  	pt: 0.7240298867196915  	diff:  发现AB0.34249216678717764 意识AB0.36201494335984574 察觉A0.01735357917570499 觉察A0.0021691973969631237
  	class: 问  	d: 10  	pt: 0.7222222222222223  	diff:  问问A0.1527777777777778 问AB0.36111111111111116 提问A0.18055555555555555 发问A0.027777777777777776
  	class: 回  	d: 5  	pt: 0.72  	diff:  章节A0.36 区块AB0.36
  	class: 谨慎  	d: 15  	pt: 0.7142857142857142  	diff:  严谨A0.2857142857142857 谨慎AB0.3571428571428571 审慎A0.07142857142857142
  	class: 建立  	d: 7  	pt: 0.7138964577656677  	diff:  成立A0.34877384196185285 建立AB0.35694822888283384 起家A0.005449591280653951 确立A0.0027247956403269754
  	class: 频谱  	d: 2  	pt: 0.7058823529411764  	diff:  频谱AB0.3529411764705882 频带A0.35294117647058826
  	class: 表达  	d: 5  	pt: 0.7045454545454546  	diff:  表达AB0.23295454545454541 表述A0.11931818181818182 发挥AB0.3522727272727273
  	class: 取得  	d: 16  	pt: 0.7039473684210525  	diff:  获取AB0.3519736842105263 取A0.2138157894736842 赢得A0.03289473684210526 获A0.046052631578947366 落A0.009868421052631578 抱A0.01644736842105263 收获A0.023026315789473683 博A0.009868421052631578
  	class: 顶用  	d: 19  	pt: 0.7028985507246378  	diff:  有用AB0.35144927536231885 有效性A0.11594202898550725 可行A0.14492753623188406 行得通A0.0036231884057971015 实用A0.07971014492753623 中用A0.007246376811594203
  	class: 离别  	d: 12  	pt: 0.7012987012987013  	diff:  分开A0.35064935064935066 分离AB0.35064935064935066
  	class: 叫做  	d: 18  	pt: 0.6971608832807571  	diff:  称之为AB0.11435331230283913 称为AB0.20347003154574128 称作A0.012618296529968454 名叫AB0.23422712933753942 叫作A0.031545741324921134 名为A0.10094637223974763
  	class: 浏览  	d: 4  	pt: 0.6923076923076923  	diff:  浏览AB0.34615384615384615 参观A0.34615384615384615
  	class: 给予  	d: 13  	pt: 0.6842105263157894  	diff:  赋予AB0.3421052631578947 给予A0.21052631578947367 予以A0.05263157894736842 授予A0.07894736842105263
  	class: 需要  	d: 11  	pt: 0.6797385620915033  	diff:  需求AB0.33986928104575165 需A0.3137254901960784 急需A0.0196078431372549 亟需A0.0032679738562091504 亟待A0.0032679738562091504
  	class: 走  	d: 9  	pt: 0.6666666666666667  	diff:  行走AB0.25 行进AB0.33333333333333337 走路A0.08333333333333333
  	class: 计划  	d: 14  	pt: 0.6666666666666667  	diff:  计划AB0.33333333333333337 规划AB0.3278985507246377 统筹A0.005434782608695652
  	class: 创见  	d: 3  	pt: 0.6666666666666667  	diff:  创意AB0.33333333333333337 新意A0.3333333333333333
  	class: 剩余  	d: 7  	pt: 0.6666666666666667  	diff:  剩下AB0.33333333333333337 剩余A0.3333333333333333
  	class: 合理  	d: 16  	pt: 0.6666666666666667  	diff:  客体A0.19047619047619047 客观AB0.33333333333333337 合理性A0.14285714285714285
  	class: 能手  	d: 18  	pt: 0.6666666666666666  	diff:  棋手AB0.33333333333333337 高手A0.16666666666666666 妙手A0.16666666666666666
  	class: 棋  	d: 3  	pt: 0.6666666666666666  	diff:  棋子A0.16666666666666666 棋AB0.33333333333333337 棋类A0.16666666666666666
  	class: 感到  	d: 7  	pt: 0.661290322580645  	diff:  感觉AB0.2983870967741935 感到AB0.33064516129032256 深感A0.03225806451612903
  	class: 规律  	d: 6  	pt: 0.6589147286821706  	diff:  规律A0.14728682170542637 原理AB0.1821705426356589 法则AB0.3294573643410853
  	class: 种类  	d: 12  	pt: 0.6506024096385541  	diff:  项目AB0.2690763052208835 类型AB0.05622489959839355 品种A0.0034423407917383822 类别A0.29345955249569705 种类A0.028399311531841654
  	class: 军队  	d: 17  	pt: 0.6436781609195401  	diff:  队伍AB0.04597701149425287 军事AB0.32183908045977005 军队A0.06896551724137931 军A0.1724137931034483 大军A0.034482758620689655
  	class: 请求  	d: 13  	pt: 0.6431372549019607  	diff:  请AB0.32156862745098036 求A0.11372549019607843 请求A0.20392156862745098 呼吁A0.00392156862745098
  	class: 路程  	d: 7  	pt: 0.6296296296296294  	diff:  路AB0.31481481481481477 路途A0.018518518518518517 里程A0.07407407407407407 程A0.09259259259259259 行程A0.1111111111111111 路程A0.018518518518518517
  	class: 驾驶员  	d: 7  	pt: 0.6000000000000001  	diff:  驾驶员A0.23333333333333334 司机AB0.30000000000000004 驾驶者A0.03333333333333333 车手A0.03333333333333333
  	class: 一连  	d: 16  	pt: 0.5847457627118644  	diff:  连接AB0.2923728813559322 连续A0.2860169491525424 接连A0.006355932203389831
  	class: 成为  	d: 8  	pt: 0.5794871794871794  	diff:  化AB0.2358974358974359 成AB0.2897435897435897 变为A0.028846153846153848 改为A0.01730769230769231 化为A0.007692307692307693
  	class: 答  	d: 14  	pt: 0.5782312925170069  	diff:  回答AB0.2891156462585034 应对AB0.06462585034013607 回应A0.14285714285714285 答疑A0.034013605442176874 应答A0.02040816326530612 解惑A0.02040816326530612 答复A0.006802721088435374
  	class: 性质  	d: 7  	pt: 0.5753715498938428  	diff:  性质A0.08598726114649681 性能AB0.20169851380042458 属性AB0.28768577494692144
  	class: 迷惑  	d: 13  	pt: 0.5736434108527131  	diff:  困惑AB0.1472868217054264 迷惑A0.11627906976744186 糊弄A0.023255813953488372 疑惑AB0.28682170542635654
  	class: 地心引力  	d: 5  	pt: 0.5714285714285714  	diff:  重力AB0.2857142857142857 地心引力A0.2857142857142857
  	class: 信心  	d: 4  	pt: 0.5652173913043479  	diff:  信念AB0.28260869565217395 信心A0.2826086956521739
  	class: 摄影  	d: 9  	pt: 0.5599999999999999  	diff:  拍摄AB0.06 拍照AB0.21999999999999997 摄影A0.2 录像A0.08
  	class: 了解  	d: 29  	pt: 0.5494806976288457  	diff:  理解AB0.21575543797766017 懂A0.03017832647462277 明亮A0.00823045267489712 知情A0.0027434842249657062 知晓AB0.20879874583578287 知A0.012345679012345678 懂得AB0.06594160297864002 明A0.00411522633744856 领略A0.0013717421124828531
  	class: 风潮  	d: 3  	pt: 0.5454545454545454  	diff:  风潮A0.18181818181818182 大潮A0.09090909090909091 浪潮AB0.2727272727272727
  	class: 交  	d: 12  	pt: 0.5389221556886229  	diff:  给出AB0.2694610778443114 提交A0.18862275449101795 付出A0.03592814371257485 交由A0.011976047904191617 交付A0.005988023952095809 交给A0.020958083832335328 付A0.005988023952095809
  	class: 宇宙  	d: 9  	pt: 0.5333333333333334  	diff:  自然界A0.26666666666666666 宇宙AB0.2666666666666667
  	class: 镜头  	d: 3  	pt: 0.5333333333333334  	diff:  画面AB0.2666666666666667 镜头A0.26666666666666666
  	class: 图  	d: 6  	pt: 0.5209580838323353  	diff:  图片AB0.26047904191616766 图形A0.1377245508982036 图表A0.12275449101796407
  	class: 近似  	d: 17  	pt: 0.5158371040723982  	diff:  类似AB0.1206636500754148 接近AB0.07843137254901963 看似A0.02564102564102564 相近A0.042232277526395176 类A0.02564102564102564 近似A0.15987933634992457 相仿A0.004524886877828055 好像AB0.058823529411764705
  	class: 准确  	d: 6  	pt: 0.5080645161290323  	diff:  精确AB0.2540322580645161 准确AB0.22580645161290325 准确无误A0.004032258064516129 高精度A0.024193548387096774
  	class: 空洞  	d: 26  	pt: 0.5000000000000001  	diff:  抽象AB0.25 虚幻A0.025 空洞A0.20833333333333334 概念化A0.016666666666666666
  	class: 运动员  	d: 3  	pt: 0.5  	diff:  选手AB0.25 运动员A0.25
  	class: 跟随者  	d: 5  	pt: 0.5  	diff:  支持者AB0.125 维护者A0.125 追随者AB0.125 拥护者A0.125
  	class: 下  	d: 15  	pt: 0.5  	diff:  排放A0.125 下头A0.125 脚B0.25
  	class: 房屋  	d: 5  	pt: 0.5  	diff:  房屋A0.25 房子AB0.25
  	class: 园林  	d: 5  	pt: 0.5  	diff:  公园AB0.25 花园B0.25
  	class: 钳制  	d: 8  	pt: 0.5  	diff:  制约AB0.25 掣肘A0.25
  	class: 飞机  	d: 3  	pt: 0.5  	diff:  飞机AB0.25 飞行器A0.25
  	class: 趋向  	d: 4  	pt: 0.5  	diff:  趋于AB0.25 趋A0.125 趋向A0.125
  	class: 猜想  	d: 8  	pt: 0.5  	diff:  猜AB0.25 猜猜A0.08333333333333333 猜想A0.16666666666666666
  	class: 停滞  	d: 5  	pt: 0.5  	diff:  停滞AB0.25 僵化A0.25
  	class: 一再  	d: 23  	pt: 0.4962406015037594  	diff:  数AB0.24812030075187974 频繁A0.10526315789473684 反复A0.14285714285714285
  	class: 遮盖  	d: 15  	pt: 0.4931506849315068  	diff:  幂A0.1917808219178082 覆盖AB0.2465753424657534 掩A0.0136986301369863 埋A0.0136986301369863 掩盖A0.0136986301369863 遮住A0.0136986301369863
  	class: 描写  	d: 12  	pt: 0.49099099099099097  	diff:  写AB0.20495495495495497 刻画A0.04054054054054054 描绘AB0.11936936936936936 形容AB0.12612612612612611
  	class: 对  	d: 6  	pt: 0.4838709677419355  	diff:  面对AB0.24193548387096775 相向A0.016129032258064516 面A0.11290322580645161 劈A0.11290322580645161
  	class: 专家  	d: 5  	pt: 0.4808743169398908  	diff:  学者A0.22404371584699453 专家AB0.2404371584699454 学家A0.01639344262295082
  	class: 终于  	d: 11  	pt: 0.4761904761904762  	diff:  算AB0.23809523809523814 算是A0.23809523809523808
  	class: 任意  	d: 17  	pt: 0.47457627118644075  	diff:  任意AB0.23728813559322037 自由A0.10734463276836158 轻易A0.12994350282485875
  	class: 模仿  	d: 27  	pt: 0.47352941176470587  	diff:  学A0.11176470588235295 模拟AB0.11470588235294121 模仿AB0.11323529411764705 仿照A0.0029411764705882353 法A0.0029411764705882353 仿A0.0058823529411764705 效仿AB0.12205882352941176
  	class: 推理  	d: 5  	pt: 0.4683195592286502  	diff:  演绎A0.01652892561983471 推导A0.21763085399449036 推理AB0.2341597796143251
  	class: 胜于  	d: 13  	pt: 0.46212121212121215  	diff:  高AB0.23106060606060608 强A0.22348484848484848 胜过A0.007575757575757576
  	class: 团体  	d: 6  	pt: 0.4618834080717489  	diff:  组织A0.1860986547085202 团队AB0.23094170403587444 团体A0.042600896860986545 社A0.002242152466367713
  	class: 经历  	d: 7  	pt: 0.46090534979423864  	diff:  经验AB0.2304526748971193 经历A0.2222222222222222 资历A0.00823045267489712
  	class: 人数  	d: 8  	pt: 0.4444444444444444  	diff:  人口A0.19444444444444445 人数AB0.2222222222222222 人头A0.027777777777777776
  	class: 意图  	d: 6  	pt: 0.4444444444444444  	diff:  意图A0.19883040935672514 作用AB0.2222222222222222 意向A0.023391812865497075
  	class: 习惯  	d: 6  	pt: 0.4444444444444444  	diff:  习惯AB0.2222222222222222 习惯于A0.2222222222222222
  	class: 吸引  	d: 8  	pt: 0.43661971830985913  	diff:  引发AB0.21830985915492956 吸引AB0.1619718309859155 抓住A0.04225352112676056 掀起A0.014084507042253521
  	class: 音信  	d: 7  	pt: 0.42606635071090043  	diff:  信息AB0.2130331753554502 消息AB0.21303317535545024
  	class: 合并  	d: 24  	pt: 0.4104803493449782  	diff:  集成AB0.20524017467248912 合并A0.1615720524017467 并入A0.008733624454148471 拼A0.013100436681222707 一统A0.004366812227074236 联结A0.017467248908296942
  	class: 仓库  	d: 11  	pt: 0.4070175438596491  	diff:  库AB0.20350877192982453 堆栈A0.14385964912280702 仓库A0.03859649122807018 栈A0.021052631578947368
  	class: 论述  	d: 4  	pt: 0.4  	diff:  阐释A0.2 论述AB0.2
  	class: 演员  	d: 9  	pt: 0.39999999999999997  	diff:  演员AB0.19999999999999996 艺人A0.2
  	class: 马路  	d: 4  	pt: 0.39999999999999997  	diff:  街道AB0.19999999999999996 马路A0.2
  	class: 受惊  	d: 6  	pt: 0.39999999999999997  	diff:  惊A0.2 震惊AB0.19999999999999996
  	class: 损坏  	d: 10  	pt: 0.39999999999999997  	diff:  破坏AB0.19999999999999996 损坏A0.2
  	class: 使用  	d: 14  	pt: 0.3967587034813926  	diff:  采用AB0.030912364945978377 利用AB0.16506602641056423 用到AB0.19837935174069626 动用A0.0012004801920768306 行使A0.0012004801920768306
  	class: 形状  	d: 6  	pt: 0.39097744360902253  	diff:  形状AB0.19548872180451127 形态A0.19548872180451127
  	class: 解释  	d: 6  	pt: 0.3877551020408163  	diff:  解释AB0.19387755102040816 分解A0.18622448979591838 解说A0.007653061224489796
  	class: 商店  	d: 24  	pt: 0.38426966292134834  	diff:  公司AB0.035955056179775347 企业A0.1842696629213483 商店AB0.15617977528089888 局A0.0011235955056179776 店铺A0.0044943820224719105 商家A0.0022471910112359553
  	class: 价值  	d: 2  	pt: 0.3824604141291108  	diff:  值AB0.1912302070645554 价值A0.19123020706455543
  	class: 意义  	d: 2  	pt: 0.3688622754491018  	diff:  含义AB0.18443113772455091 意义AB0.1844311377245509
  	class: 接受  	d: 9  	pt: 0.368421052631579  	diff:  接受AB0.1228070175438597 领AB0.18421052631578946 承受A0.05263157894736842 奉A0.008771929824561403
  	class: 资本  	d: 12  	pt: 0.36795252225519287  	diff:  成本AB0.0586053412462908 资本AB0.12537091988130564 基金A0.08902077151335312 资产A0.02967359050445104 资金A0.05934718100890208 财力A0.005934718100890208
  	class: 听见  	d: 4  	pt: 0.36363636363636365  	diff:  听到AB0.18181818181818177 视听A0.09090909090909091 聪A0.045454545454545456 听见A0.045454545454545456
  	class: 包括  	d: 9  	pt: 0.3622047244094487  	diff:  包括AB0.16850393700787392 概括AB0.18110236220472442 席卷A0.0031496062992125984 囊括A0.007874015748031496 总括A0.0015748031496062992
  	class: 共同  	d: 31  	pt: 0.36082474226804123  	diff:  协同A0.10824742268041238 旅A0.015463917525773196 联合AB0.18041237113402064 联名A0.010309278350515464 协办A0.005154639175257732 伙A0.005154639175257732 协A0.020618556701030927 联手A0.005154639175257732 合A0.010309278350515464
  	class: 时期  	d: 4  	pt: 0.3595505617977528  	diff:  时代AB0.1797752808988764 时期A0.1797752808988764
  	class: 真情  	d: 4  	pt: 0.35  	diff:  事实AB0.17499999999999993 实情AB0.17500000000000002
  	class: 带路  	d: 9  	pt: 0.3448275862068966  	diff:  带领AB0.1724137931034483 先导A0.10344827586206896 向导A0.06896551724137931
  	class: 想象  	d: 2  	pt: 0.34029850746268653  	diff:  想象AB0.17014925373134326 想像AB0.1701492537313433
  	class: 回忆  	d: 19  	pt: 0.3396226415094339  	diff:  回顾AB0.16981132075471694 回溯A0.018867924528301886 想起A0.03773584905660377 回想A0.05660377358490566 回忆A0.05660377358490566
  	class: 查阅  	d: 6  	pt: 0.33918128654970764  	diff:  查看AB0.16959064327485385 查阅A0.15204678362573099 查A0.011695906432748537 翻看A0.005847953216374269
  	class: 用处  	d: 3  	pt: 0.3333333333333333  	diff:  用途AB0.16666666666666663 用处AB0.16666666666666669
  	class: 广播  	d: 9  	pt: 0.33333333333333326  	diff:  播放AB0.16666666666666663 播报A0.16666666666666666
  	class: 意味  	d: 9  	pt: 0.33098039215686276  	diff:  代表AB0.15372549019607845 意味着AB0.00588235294117645 意味A0.009411764705882352 味道AB0.1596078431372549 寓意A0.002352941176470588
  	class: 推测  	d: 16  	pt: 0.32052980132450326  	diff:  推断AB0.0874172185430463 推测AB0.16026490066225166 测度A0.006622516556291391 推论A0.026490066225165563 揣测A0.006622516556291391 推想A0.033112582781456956
  	class: 花费  	d: 5  	pt: 0.3142857142857143  	diff:  花AB0.15714285714285714 花费AB0.12857142857142856 费A0.02857142857142857
  	class: 宣布  	d: 11  	pt: 0.3076923076923076  	diff:  揭示AB0.06297548605240912 发布AB0.09087066779374464 公布A0.12130177514792899 宣告A0.011834319526627219 揭晓A0.008875739644970414 颁发A0.005917159763313609 昭示A0.0029585798816568047 颁布A0.0029585798816568047
  	class: 相距  	d: 7  	pt: 0.3060498220640569  	diff:  偏离A0.0498220640569395 距离AB0.15302491103202842 相差A0.021352313167259787 离开A0.06761565836298933 相距A0.014234875444839857
  	class: 部署  	d: 4  	pt: 0.3014608233731739  	diff:  配置AB0.10889774236387784 部署AB0.021912350597609542 配备A0.0199203187250996 安排AB0.15073041168658696
  	class: 书籍  	d: 8  	pt: 0.30000000000000004  	diff:  书籍AB0.15000000000000002 图书A0.15
  	class: 对象  	d: 4  	pt: 0.29609929078014185  	diff:  目标AB0.14804964539007093 对象A0.14804964539007093
  	class: 派别  	d: 10  	pt: 0.2954545454545454  	diff:  流派A0.14772727272727273 门AB0.1477272727272727
  	class: 计算机  	d: 8  	pt: 0.2945710455764075  	diff:  计算机AB0.01725871313672922 处理器A0.13002680965147453 电脑AB0.14728552278820375
  	class: 呈现  	d: 7  	pt: 0.29427792915531337  	diff:  表现AB0.14713896457765663 展现A0.051771117166212535 呈现A0.08446866485013624 变现A0.005449591280653951 显现A0.005449591280653951
  	class: 加快  	d: 7  	pt: 0.29107981220657275  	diff:  加速AB0.14553990610328638 加快A0.13145539906103287 增速A0.014084507042253521
  	class: 改变  	d: 11  	pt: 0.28205128205128205  	diff:  改变AB0.14102564102564108 更改A0.060897435897435896 转A0.0673076923076923 变更A0.003205128205128205 改成A0.00641025641025641 改A0.003205128205128205
  	class: 打听  	d: 12  	pt: 0.27272727272727276  	diff:  询问AB0.13636363636363635 打探A0.045454545454545456 垂询A0.045454545454545456 问询A0.045454545454545456
  	class: 支配  	d: 9  	pt: 0.27177700348432055  	diff:  控制AB0.13588850174216027 主宰A0.006968641114982578 操纵A0.08013937282229965 操A0.04878048780487805
  	class: 告诉  	d: 7  	pt: 0.2670157068062827  	diff:  报告AB0.09685863874345546 告诉AB0.13350785340314136 告知A0.02617801047120419 语A0.010471204188481676
  	class: 支付  	d: 6  	pt: 0.2623655913978495  	diff:  开销A0.09247311827956989 开发AB0.13118279569892477 支付A0.03655913978494624 支A0.002150537634408602
  	class: 答应  	d: 10  	pt: 0.2622950819672132  	diff:  应AB0.1311475409836066 承诺A0.13114754098360656
  	class: 使得  	d: 5  	pt: 0.26086956521739124  	diff:  令AB0.13043478260869568 教AB0.13043478260869557
  	class: 朗读  	d: 7  	pt: 0.25806451612903225  	diff:  读AB0.12903225806451613 朗诵A0.03225806451612903 朗读A0.0967741935483871
  	class: 资料  	d: 5  	pt: 0.25423728813559326  	diff:  资料AB0.11016949152542377 材料AB0.1271186440677966 素材A0.01694915254237288
  	class: 判断  	d: 11  	pt: 0.25242718446601947  	diff:  判断AB0.12621359223300976 判定A0.08737864077669903 看清A0.009708737864077669 论断A0.02912621359223301
  	class: 列举  	d: 6  	pt: 0.25  	diff:  列举AB0.125 点数A0.125
  	class: 职位  	d: 6  	pt: 0.24911032028469754  	diff:  位置AB0.1245551601423488 职位A0.10320284697508897 职务A0.0035587188612099642 岗位A0.014234875444839857 职A0.0035587188612099642
  	class: 机关  	d: 3  	pt: 0.24875621890547261  	diff:  机构AB0.09950248756218905 部门AB0.02487562189054726 单位AB0.12437810945273631
  	class: 高等学校  	d: 3  	pt: 0.24  	diff:  大学AB0.12 高校A0.12
  	class: 寻找  	d: 23  	pt: 0.23285714285714285  	diff:  查找A0.03142857142857143 寻找AB0.05499999999999999 搜索AB0.03857142857142859 搜寻A0.004285714285714286 找AB0.07785714285714285 摸索A0.007142857142857143 觅A0.004285714285714286 探寻A0.005714285714285714 找寻A0.002857142857142857 追寻A0.002857142857142857 寻A0.0014285714285714286 招来A0.0014285714285714286
  	class: 定义  	d: 3  	pt: 0.22908093278463654  	diff:  概念AB0.11454046639231824 定义AB0.1145404663923183
  	class: 强大  	d: 27  	pt: 0.22580645161290322  	diff:  强大AB0.11290322580645162 精A0.06989247311827956 强劲A0.010752688172043012 强有力A0.026881720430107527 劲A0.005376344086021506
  	class: 世界  	d: 18  	pt: 0.22413793103448276  	diff:  全球AB0.07758620689655171 全世界AB0.11206896551724138 大地A0.013793103448275862 环球A0.013793103448275862 世A0.006896551724137931
  	class: 误会  	d: 2  	pt: 0.22222222222222227  	diff:  误解AB0.11111111111111116 误会A0.1111111111111111
  	class: 通知  	d: 10  	pt: 0.22222222222222227  	diff:  通知AB0.11111111111111116 通告A0.1111111111111111
  	class: 来  	d: 7  	pt: 0.21428571428571425  	diff:  来到AB0.1071428571428571 来临A0.07142857142857142 赶到A0.03571428571428571
  	class: 水平  	d: 5  	pt: 0.20979532163742698  	diff:  水平AB0.10489766081871349 程度AB0.0917397660818714 水准A0.013157894736842105
  	class: 担心  	d: 10  	pt: 0.2083333333333333  	diff:  担心AB0.10416666666666663 顾虑A0.08333333333333333 操心A0.020833333333333332
  	class: 事例  	d: 3  	pt: 0.20615796519410984  	diff:  例子AB0.10307898259705495 事例AB0.10307898259705488
  	class: 记住  	d: 24  	pt: 0.19672131147540983  	diff:  牢记A0.06557377049180328 记住AB0.09836065573770492 铭记A0.01639344262295082 铭刻A0.01639344262295082
  	class: 气候  	d: 3  	pt: 0.19047619047619047  	diff:  气候A0.09523809523809523 天气AB0.09523809523809523
  	class: 赞成  	d: 4  	pt: 0.18867924528301883  	diff:  倾向AB0.09433962264150941 赞成A0.018867924528301886 赞同A0.07547169811320754
  	class: 结构  	d: 2  	pt: 0.1839530332681018  	diff:  结构AB0.09197651663405093 构造A0.09197651663405088
  	class: 漏洞  	d: 7  	pt: 0.18181818181818185  	diff:  漏洞AB0.09090909090909094 尾巴A0.09090909090909091
  	class: 词  	d: 9  	pt: 0.18181818181818182  	diff:  词AB0.08668076109936573 歌词A0.004228329809725159 字眼B0.09090909090909091
  	class: 足够  	d: 6  	pt: 0.17808219178082194  	diff:  足够AB0.08904109589041098 够A0.06164383561643835 够用A0.0136986301369863 足A0.0136986301369863
  	class: 布局  	d: 2  	pt: 0.17475728155339804  	diff:  布局AB0.08737864077669899 格局A0.08737864077669903
  	class: 撑持  	d: 5  	pt: 0.1727748691099476  	diff:  支持AB0.08638743455497377 支撑A0.08638743455497382
  	class: 线  	d: 4  	pt: 0.1694915254237288  	diff:  线AB0.0847457627118644 线段A0.05084745762711865 线条A0.03389830508474576
  	class: 少  	d: 23  	pt: 0.16901408450704228  	diff:  有限AB0.08450704225352113 少于A0.07042253521126761 一定量A0.014084507042253521
  	class: 职工  	d: 2  	pt: 0.16326530612244894  	diff:  员工AB0.08163265306122447 职工A0.08163265306122448
  	class: 创始人  	d: 7  	pt: 0.16216216216216212  	diff:  创始人AB0.08108108108108103 开拓者A0.08108108108108109
  	class: 估计  	d: 14  	pt: 0.16080402010050254  	diff:  估计AB0.08040201005025127 估算A0.08040201005025126
  	class: 益处  	d: 10  	pt: 0.15999999999999998  	diff:  利益AB0.07999999999999996 裨益A0.04 功利A0.04
  	class: 流行  	d: 7  	pt: 0.15942028985507248  	diff:  流行AB0.07971014492753625 盛行A0.07246376811594203 兴A0.007246376811594203
  	class: 文章  	d: 4  	pt: 0.15909090909090912  	diff:  文章AB0.07954545454545459 篇章A0.07954545454545454
  	class: 叙述  	d: 6  	pt: 0.15873015873015878  	diff:  描述AB0.07936507936507942 讲述A0.047619047619047616 叙述A0.031746031746031744
  	class: 活  	d: 6  	pt: 0.1538461538461538  	diff:  生存AB0.07692307692307687 活着A0.07692307692307693
  	class: 疏忽  	d: 11  	pt: 0.1538461538461538  	diff:  忽视AB0.07692307692307687 疏忽A0.07692307692307693
  	class: 制订  	d: 3  	pt: 0.1538461538461538  	diff:  制定AB0.07692307692307687 制订A0.07692307692307693
  	class: 过程  	d: 4  	pt: 0.14783821478382148  	diff:  过程AB0.05997210599721059 进程AB0.013947001394700148 历程AB0.07391910739191074
  	class: 技术  	d: 8  	pt: 0.14022578728461085  	diff:  技能A0.035650623885918005 技巧A0.0314913844325609 技术AB0.07011289364230544 技A0.0023767082590612004 术A0.0005941770647653001
  	class: 尝试  	d: 9  	pt: 0.13793103448275865  	diff:  试AB0.06896551724137934 试试看A0.06896551724137931
  	class: 中心  	d: 11  	pt: 0.13753581661891115  	diff:  中心AB0.018147086914995225 核心AB0.050620821394460336 主干A0.05730659025787966 骨干A0.008595988538681949 为重A0.0028653295128939827
  	class: 观察  	d: 12  	pt: 0.13333333333333333  	diff:  观察AB0.06666666666666665 洞察A0.0375 考察A0.025 观A0.004166666666666667
  	class: 导致  	d: 9  	pt: 0.13215859030837002  	diff:  导致AB0.06607929515418498 招致A0.004405286343612335 促成A0.022026431718061675 招A0.030837004405286344 致使A0.00881057268722467
  	class: 思路  	d: 4  	pt: 0.13114754098360654  	diff:  思路AB0.06557377049180324 笔触A0.06557377049180328
  	class: 作者  	d: 6  	pt: 0.12804878048780483  	diff:  作者AB0.06402439024390238 笔者A0.06402439024390244
  	class: 电影  	d: 4  	pt: 0.125  	diff:  电影AB0.0625 影片B0.0625
  	class: 跟踪  	d: 4  	pt: 0.125  	diff:  跟踪AB0.0625 盯住A0.0625
  	class: 能力  	d: 3  	pt: 0.11940298507462682  	diff:  能力AB0.05970149253731338 力量A0.03917910447761194 力A0.020522388059701493
  	class: 归纳  	d: 7  	pt: 0.11764705882352944  	diff:  归纳AB0.05882352941176472 集锦A0.029411764705882353 归结A0.029411764705882353
  	class: 交际  	d: 8  	pt: 0.11267605633802821  	diff:  社交AB0.05633802816901412 打交道A0.056338028169014086
  	class: 带动  	d: 5  	pt: 0.11111111111111113  	diff:  带来AB0.05555555555555558 带动A0.05092592592592592 拉动A0.004629629629629629
